subject,speed,leg,trials,n_samples,rmse,r2
AB07_Leo,0mps,R,trial_1;trial_2;trial_3,2418,0.09613814918354753,-5.562049920700094
AB07_Leo,0mps,L,trial_1;trial_2;trial_3,2418,0.08093259427384293,-41.2048822982586
AB07_Leo,0mps,both,trial_1;trial_2;trial_3,4836,0.08886120791530046,-8.911470772524872
AB07_Leo,0p2mps,R,trial_1;trial_2;trial_3,8418,0.07995128617842362,0.42994437956889553
AB07_Leo,0p2mps,L,trial_1;trial_2;trial_3,8418,0.08315090111729909,0.47108482249788686
AB07_Leo,0p2mps,both,trial_1;trial_2;trial_3,16836,0.08156678404290267,0.5256174964920086
AB07_Leo,0p4mps,R,trial_1;trial_2;trial_3,8418,0.08785426440404087,0.6213344285866528
AB07_Leo,0p4mps,L,trial_1;trial_2;trial_3,8418,0.07645700079041988,0.7054324442374151
AB07_Leo,0p4mps,both,trial_1;trial_2;trial_3,16836,0.08235303498912894,0.6819183321637634
AB07_Leo,0p6mps,R,trial_1;trial_2;trial_3,8418,0.08158996624239012,0.7934197280237949
AB07_Leo,0p6mps,L,trial_1;trial_2;trial_3,8418,0.0828277326051811,0.7898304777358129
AB07_Leo,0p6mps,both,trial_1;trial_2;trial_3,16836,0.08221117892339747,0.8023571989153038
AB07_Leo,0p8mps,R,trial_1;trial_2;trial_3,8418,0.08860149209926296,0.8451272390458544
AB07_Leo,0p8mps,L,trial_1;trial_2;trial_3,8418,0.08939510648873811,0.8430391363790315
AB07_Leo,0p8mps,both,trial_1;trial_2;trial_3,16836,0.08899918389049583,0.8555694229789943
AB07_Leo,1p0mps,R,trial_1;trial_2;trial_3,8418,0.0914512112585243,0.893266071846035
AB07_Leo,1p0mps,L,trial_1;trial_2;trial_3,8418,0.08532560581604919,0.8983668129512153
AB07_Leo,1p0mps,both,trial_1;trial_2;trial_3,16836,0.08844145817580987,0.8988887483870132
AB07_Leo,1p2mps,R,trial_1;trial_2;trial_3,8418,0.09907329277749581,0.9102943407798828
AB07_Leo,1p2mps,L,trial_1;trial_2;trial_3,8418,0.09642836100290604,0.8960130060035858
AB07_Leo,1p2mps,both,trial_1;trial_2;trial_3,16836,0.09775977226723212,0.9058428143363283
AB07_Leo,1p4mps,R,trial_1;trial_2;trial_3,8418,0.10478974673728995,0.9196796309030213
AB07_Leo,1p4mps,L,trial_1;trial_2;trial_3,8418,0.09963486284155997,0.9077320043470906
AB07_Leo,1p4mps,both,trial_1;trial_2;trial_3,16836,0.10224479672511905,0.9150675388573267
AB07_Leo,transient_15sec,R,trial_1;trial_2;trial_3,3918,0.10083671484995461,0.8384292236550466
AB07_Leo,transient_15sec,L,trial_1;trial_2;trial_3,3918,0.09593972514852259,0.8278299665566897
AB07_Leo,transient_15sec,both,trial_1;trial_2;trial_3,7836,0.09841868197477832,0.8401935433489702
AB07_Leo,transient_30sec,R,trial_1;trial_2;trial_3,8418,0.0987781859092885,0.8445995400921902
AB07_Leo,transient_30sec,L,trial_1;trial_2;trial_3,8418,0.10142891243847792,0.7966498556200624
AB07_Leo,transient_30sec,both,trial_1;trial_2;trial_3,16836,0.10011232264307522,0.8310487027914928
